POPULATION,LATITUDE,LONGITUDE,Total_units,Vacant_units,Median_rooms,Mean_household_size_owners,Mean_household_size_renters,Owners,Median_household_income,Mean_household_income,Built_1990_or_later,Bedrooms_4_or_more,Median_Value
4306,34.433587,-118.512338,1301,36,6.4,3.29,2.57,91.4,89269,107576,12.2,48.4,394700
6353,34.472752,-118.52826,1926,37,6.9,3.33,3.29,89.6,130947,136807,52.4,55.5,536700
4904,34.463408,-118.521764,1530,0,6.9,3.14,3.73,94.7,120000,126945,70,55.5,556200
4342,34.441237,-118.527578,1443,46,5.8,3.08,2.53,83.8,84988,91537,2.5,31.8,409300
2277,34.455543,-118.529937,797,0,5.9,2.64,3.2,82.2,82207,89018,10.3,20.2,403000
6954,34.457751,-118.497437,2219,74,6.3,3.28,3.04,86.3,96409,120734,24.8,44.3,447000
2598,34.423161,-118.489535,760,36,5.5,3.64,3.87,88.4,74559,76160,37.6,25.3,119400
419,34.475482,-118.436243,102,31,6.9,2.52,1.91,84.5,145524,137554,30.4,9.8,758100
5684,34.441584,-118.483028,1678,30,5.8,3.38,2.89,86.3,101250,116332,64.5,31.3,398000
3574,34.431084,-118.482006,1277,52,5,3.02,2.92,78.4,79957,82089,34.9,22.9,274100
5818,34.415739,-118.488626,1976,45,5.3,2.91,3.22,73.8,84375,94819,25.8,26.9,382600
5301,34.404634,-118.478868,2603,100,4.8,2,1.31,88,40179,61001,29.5,13.3,297200
2897,34.451948,-118.482258,808,12,7.2,3.69,4.1,91.6,130481,160920,72.5,68.4,531000
515,34.455142,-118.425369,202,0,4.9,2.4,2.45,67.8,34817,49862,12.4,0,87700
3628,34.433735,-118.459445,1177,41,5.9,3.03,2.52,73,80545,92613,32.1,34.8,393600
7720,34.419559,-118.46485,2268,74,5.2,3.54,3.37,77.7,62028,79757,19.8,26,350500
3419,34.422552,-118.475921,1010,60,5.3,3.64,3.61,63.8,79758,87099,0.9,30.3,368600
7131,34.412319,-118.452329,2433,262,3.7,1.86,3.43,7.7,52242,64515,42.5,0,242500
4430,34.421591,-118.449461,1701,148,3.9,2.32,2.29,43.8,48505,54474,14.2,1.1,198600
1896,34.422292,-118.439814,598,0,6.8,3.07,4.4,98.3,101048,128548,31.8,62,468800
